;$FILEVERSION=2.0
;$STARTTIME=45232.8237570602
;$COLUMNS=N,O,T,I,d,l,D
;
;   Start time: 2023/11/2 19:46:12.610.0
;   Generated by PCAN-View v4.3.4.615
;-------------------------------------------------------------------------------
;   Connection                 Bit rate
;   PCANLight_USB_16@pcan_usb  Nominal 1 MBit/s, Data 1 MBit/s
;-------------------------------------------------------------------------------
;   Message   Time    Type ID     Rx/Tx
;   Number    Offset  |    [hex]  |  Data Length
;   |         [ms]    |    |      |  |  Data [hex] ...
;   |         |       |    |      |  |  |
;---+-- ------+------ +- --+----- +- +- +- +- -- -- -- -- -- -- --
      1      1951.799 DT     0080 Rx 0  
      2      1961.778 DT     0080 Rx 0  
      3      1971.755 DT     0080 Rx 0  
      4      1981.733 DT     0080 Rx 0  
      5      1991.709 DT     0080 Rx 0  
      6      2001.688 DT     0080 Rx 0  
      7      2011.666 DT     0080 Rx 0  
      8      2021.645 DT     0080 Rx 0  
      9      2031.623 DT     0080 Rx 0  
     10      2041.600 DT     0080 Rx 0  
     11      2051.577 DT     0080 Rx 0  
     12      2061.555 DT     0080 Rx 0  
     13      2071.535 DT     0080 Rx 0  
     14      2081.514 DT     0080 Rx 0  
     15      2091.492 DT     0080 Rx 0  
     16      2101.471 DT     0080 Rx 0  
     17      2111.447 DT     0080 Rx 0  
     18      2121.425 DT     0080 Rx 0  
     19      2131.404 DT     0080 Rx 0  
     20      2141.380 DT     0080 Rx 0  
     21      2151.356 DT     0080 Rx 0  
     22      2161.331 DT     0080 Rx 0  
     23      2171.311 DT     0080 Rx 0  
     24      2181.288 DT     0080 Rx 0  
     25      2191.265 DT     0080 Rx 0  
     26      2201.143 DT     0080 Rx 0  
     27      2211.121 DT     0080 Rx 0  
     28      2221.099 DT     0080 Rx 0  
     29      2231.073 DT     0080 Rx 0  
     30      2241.048 DT     0080 Rx 0  
     31      2251.025 DT     0080 Rx 0  
     32      2261.002 DT     0080 Rx 0  
     33      2270.981 DT     0080 Rx 0  
     34      2280.959 DT     0080 Rx 0  
