;$FILEVERSION=2.0
;$STARTTIME=45224.5492104398
;$COLUMNS=N,O,T,I,d,l,D
;
;   Start time: 2023/10/25 13:10:51.782.0
;   Generated by PCAN-View v4.3.4.615





[TPDO1]
1=0x60640020
2=0x607A0020


;-------------------------------------------------------------------------------
;   Connection                 Bit rate
;   PCANLight_USB_16@pcan_usb  Nominal 1 MBit/s, Data 1 MBit/s
;-------------------------------------------------------------------------------
;   Message   Time    Type ID     Rx/Tx
;   Number    Offset  |    [hex]  |  Data Length
;   |         [ms]    |    |      |  |  Data [hex] ...
;   |         |       |    |      |  |  |
;---+-- ------+------ +- --+----- +- +- +- +- -- -- -- -- -- -- --
      1   2357101.920 DT     0080 Rx 0  
      2   2357111.890 DT     0080 Rx 0  
      3   2357121.860 DT     0080 Rx 0  
      4   2357131.833 DT     0080 Rx 0  
      5   2357141.805 DT     0080 Rx 0  
      6   2357151.780 DT     0080 Rx 0  
      7   2357161.751 DT     0080 Rx 0  
      8   2357171.724 DT     0080 Rx 0  
      9   2357181.699 DT     0080 Rx 0  
     10   2357191.672 DT     0080 Rx 0  
     11   2357201.644 DT     0080 Rx 0  
     12   2357211.616 DT     0080 Rx 0  
     13   2357221.586 DT     0080 Rx 0  
     14   2357231.558 DT     0080 Rx 0  
     15   2357241.529 DT     0080 Rx 0  
     16   2357251.499 DT     0080 Rx 0  
     17   2357261.469 DT     0080 Rx 0  
     18   2357271.441 DT     0080 Rx 0  
     19   2357281.313 DT     0080 Rx 0  
     20   2357291.286 DT     0080 Rx 0  
     21   2357301.255 DT     0080 Rx 0  
     22   2357311.228 DT     0080 Rx 0  
     23   2357321.200 DT     0080 Rx 0  
     24   2357331.172 DT     0080 Rx 0  
     25   2357341.143 DT     0080 Rx 0  
     26   2357351.115 DT     0080 Rx 0  
     27   2357361.089 DT     0080 Rx 0  
     28   2357371.061 DT     0080 Rx 0  
     29   2357381.034 DT     0080 Rx 0  
     30   2357391.007 DT     0080 Rx 0  
     31   2357400.979 DT     0080 Rx 0  
