序号	传输方向	时间标识	状态	名称	帧ID	格式	类型	DLC	数据	
0	接收	13:44:51.684			0x00000701	数据帧	标准帧	0x01	7F 	
1	接收	13:44:52.684			0x00000701	数据帧	标准帧	0x01	7F 	
2	接收	13:44:53.685			0x00000701	数据帧	标准帧	0x01	7F 	
3	接收	13:44:53.972			0x00000000	数据帧	标准帧	0x02	80 00 	
4	接收	13:44:54.684			0x00000701	数据帧	标准帧	0x01	7F 	
5	接收	13:44:55.684			0x00000701	数据帧	标准帧	0x01	7F 	
6	接收	13:44:56.685			0x00000701	数据帧	标准帧	0x01	7F 	
7	接收	13:44:57.360			0x00000601	数据帧	标准帧	0x08	2F C2 60 01 0A 00 47 95 	
8	接收	13:44:57.360		SDO配置	0x00000581	数据帧	标准帧	0x08	60 C2 60 01 00 00 00 00 	
9	接收	13:44:57.366			0x00000601	数据帧	标准帧	0x08	2F C2 60 02 FD 00 47 95 	
10	接收	13:44:57.366		SDO配置	0x00000581	数据帧	标准帧	0x08	60 C2 60 02 00 00 00 00 	
11	接收	13:44:57.376			0x00000601	数据帧	标准帧	0x08	23 00 18 01 81 01 00 80 	
12	接收	13:44:57.376		SDO配置	0x00000581	数据帧	标准帧	0x08	60 00 18 01 00 00 00 00 	
13	接收	13:44:57.382			0x00000601	数据帧	标准帧	0x08	2F 00 18 02 01 00 47 95 	
14	接收	13:44:57.382		SDO配置	0x00000581	数据帧	标准帧	0x08	60 00 18 02 00 00 00 00 	
15	接收	13:44:57.388			0x00000601	数据帧	标准帧	0x08	2B 00 18 03 14 00 47 95 	
16	接收	13:44:57.388		SDO配置	0x00000581	数据帧	标准帧	0x08	60 00 18 03 00 00 00 00 	
17	接收	13:44:57.394			0x00000601	数据帧	标准帧	0x08	23 00 18 01 81 01 00 00 	
18	接收	13:44:57.394		SDO配置	0x00000581	数据帧	标准帧	0x08	60 00 18 01 00 00 00 00 	
19	接收	13:44:57.406			0x00000601	数据帧	标准帧	0x08	23 00 14 01 01 02 00 80 	
20	接收	13:44:57.406		SDO配置	0x00000581	数据帧	标准帧	0x08	60 00 14 01 00 00 00 00 	
21	接收	13:44:57.412			0x00000601	数据帧	标准帧	0x08	2F 00 14 02 01 00 47 95 	
22	接收	13:44:57.412		SDO配置	0x00000581	数据帧	标准帧	0x08	60 00 14 02 00 00 00 00 	
23	接收	13:44:57.418			0x00000601	数据帧	标准帧	0x08	23 00 14 01 01 02 00 00 	
24	接收	13:44:57.418		SDO配置	0x00000581	数据帧	标准帧	0x08	60 00 14 01 00 00 00 00 	
